"","Nest_ID","a5x5_areawm","a500_areawm","a750_areawm","a1000_areawm","a5x5_areamn","a500_areamn","a750_areamn","a1000_areamn","a5x5_areacv","a500_areacv","a750_areacv","a1000_areacv","a5x5_proxmn","a500_proxmn","a750_proxmn","a1000_proxmn","a5x5_proxam","a500_proxam","a750_proxam","a1000_proxam","a5x5_pland","a500_pland","a750_pland","a1000_pland","a5x5_np","a500_np","a750_np","a1000_np","a5x5_Ha","a500_Ha","a750_Ha","a1000_Ha","a5x5_Bu","a500_Bu","a750_Bu","a1000_Bu"
"36","EMFWOR_NCAMC8-09A_2020",0.18,7.74225,11.2910004,25.0028,0.18,1.6,1.42962,1.45565,0,195.9309998,262.6390076,402.1990051,0,10.5974998,14.9315996,23.2861004,0,2.6245301,7.38901,12.5077,8,20.0753002,21.0606995,21.8246002,2,20,48,80,0,0,0,0,0,0,0,0
"37","EMFWOR_NLFTT2-01A_2017",0.33,6.3410802,12.9384003,24.8281002,0.27,1.35947,1.69425,2.2240701,47.1404991,191.4250031,257.6170044,318.8009949,1.11667,18.7259007,33.6242981,55.3098984,1.04444,20.8691998,59.5709991,118.9240036,36,36.0099983,38.3987999,42.7691002,5,33,66,104,0,13.8734999,18.6130009,25.0806999,0,5.99334,9.7909203,12.7896996
"38","EMFWOR_NLFTT2-01A_2018",0.99,3.0666699,2.9635,3.8110199,0.99,0.54,0.779063,0.783443,0,216.3099976,167.4490051,196.5820007,0,2.6187601,3.9375501,6.0820498,0,3.59536,4.3276501,10.3382998,44,13.5508003,14.1253996,15.5763998,2,21,40,69,64,12.9856005,14.2784004,14.6377001,0,0,0,0
"39","EMFWOR_NLFTT2-01B_2018",0.414,6.2467499,13.3754997,26.0932007,0.3,1.36895,1.79538,2.3194699,61.6441002,188.7640076,253.9680023,320.1499939,1.28333,18.7063007,35.6720009,56.6669998,1.17,19.4370003,61.7815018,121.4970016,40,36.2610016,39.6735992,43.0918007,4,34,68,100,20,20.4218006,25.5991993,30.6247997,0,6.4372902,10.6068001,13.0830002
"40","EMFWOR_NLILT1-07A_2019",0,1.32169,5.9793701,10.2265997,0,0.3204,0.796596,0.888923,0,176.7799988,255.0720062,324.1069946,0,1.86902,10.7846003,16.2329998,0,1.75962,7.1323199,9.96984,0,11.1668997,21.2136993,18.8325005,1,30,61,79,100,88.1242981,73.3808975,55.5000992,0,0,0,2.5520699
"41","EMFWOR_NLILT1-07A_2020",0,2.4525001,4.5514302,9.4432602,0,0.528,0.703256,0.863437,0,190.9160004,233.9219971,315.2269897,0,2.0540199,7.3475599,14.6374998,0,1.83126,4.9842601,8.8204298,0,11.0414,17.1341,18.0111008,1,21,51,76,96,93.8956985,77.2565002,63.4496994,0,0,0,5.72015
"42","EMFWOR_NLILT1-08A_2021",0.475714,5.1700001,9.6473598,11.4308996,0.315,1.3990901,0.933429,0.818308,71.4285965,164.1719971,305.5390015,360.125,0.875,7.5798802,14.9618998,15.125,0.428571,3.7895801,6.81953,9.8936005,28,21.4554996,18.5109997,17.3365002,5,18,45,79,100,88.3462982,68.9953995,60.1055984,100,88.3462982,68.9953995,62.2470016
"43","EMFWOR_NLILT1-10A_2016",0.81,23.4333,62.1576996,78.7650986,0.81,3.79286,5.0464301,5.81318,1.3e-06,227.5579987,336.4100037,354.2510071,0,29.5135002,31.2290001,76.7790985,0,3.97665,3.0078001,77.379303,36,37.0138016,40.0306015,41.6837997,2,23,38,63,0,11.8757,13.0545998,11.9390001,0,0,0,0
"44","EMFWOR_NLILT3-04A_2020",1.45,5.2523999,6.5940499,8.4399204,0.81,0.723214,0.766552,1.10478,88.8889008,250.2510071,275.7210083,257.67099,2.25,14.9982004,16.9901009,23.2080002,0.472222,20.3542995,28.1242008,40.2820015,72,28.2308998,25.1912003,24.8460007,5,31,63,80,100,76.4705963,74.8087997,66.3831024,100,88.2352982,73.8908997,63.5377007
"45","EMFWOR_NLILT3-10A_2017",1.4400001,21.8113003,56.5231018,63.2984009,1.4400001,7.2449999,5.6100001,3.25,0,141.7929993,301.2539978,429.8420105,0,36.8697014,65.4606018,91.1956024,0,16.1280003,24.1800003,69.3481979,64,40.4015007,38.1437988,38.1343002,4,16,37,78,16,4.66149,6.0173402,5.1041398,0,0,0,0
"46","EMFWOR_NLILT3-10A_2018",1.4400001,28.1355,59.2509003,64.006897,1.4400001,10.0200005,5.0528598,3.54971,0,134.4589996,327.5090027,412.6940002,0,54.7560005,70.1387024,83.2310028,0,5.3190398,25.8775997,79.1629028,64,41.9071999,40.0816002,39.3370018,3,12,45,74,92,73.5848999,69.046402,66.6471024,0,0,0,0
"47","EMFWOR_NMUDT1-05A_2015",0.36,15.9399996,34.2257996,62.9813004,0.36,3.8789999,2.7281301,3.2320001,0,176.3320007,339.7869873,429.9630127,0,56.1870003,94.4600983,153.4539948,0,56.202301,93.6779022,122.7139969,16,54.0778008,49.4645996,47.4039001,3,34,72,125,0,9.1009998,13.6155005,13.4350004,0,9.1009998,13.6155005,13.3764
"48","EMFWOR_NMUDT1-05A_2016",0.36,15.9399996,34.2257996,62.9813004,0.36,3.8789999,2.7281301,3.2320001,0,176.3320007,339.7869873,429.9630127,0,56.1870003,94.4600983,153.4539948,0,56.202301,93.6779022,122.7139969,16,54.0778008,49.4645996,47.4039001,3,34,72,125,0,9.1009998,13.6155005,13.4350004,0,9.1009998,13.6155005,13.3764
"49","EMFWOR_NMUDT1-05A_2018",0.738,9.6445904,23.6035004,33.8350983,0.45,2.3785701,2.3770599,2.14429,80,174.779007,298.8259888,384.4370117,1.25,39.7705002,64.9028015,75.5833969,0.45,26.3752003,89.9552994,110.4789963,40,46.424099,45.7929993,44.0304985,5,34,82,134,0,6.8812399,11.2187996,14.2564001,0,6.8812399,11.2187996,12.1443005
"50","EMFWOR_NMUDT1-05A_2020",0.594,16.9358006,35.4628983,62.2514,0.3,3.3299999,2.5936401,3.3013599,98.9949036,202.1340027,355.9920044,422.5669861,1.51667,57.8400993,88.0279999,142.6179962,0.77,55.7416,90.7639008,119.6989975,40,55.7089005,48.4957008,47.3452988,7,38,73,124,4,61.0433006,58.6436005,56.9375,0,8.3240805,12.9015999,12.3789997
"51","EMFWOR_NMUDT1-05A_2021",0.594,16.9358006,35.4628983,62.2514,0.3,3.3299999,2.5936401,3.3013599,98.9949036,202.1340027,355.9920044,422.5669861,1.51667,57.8400993,88.0279999,142.6179962,0.77,55.7416,90.7639008,119.6989975,40,55.7089005,48.4957008,47.3452988,7,38,73,124,4,66.370697,61.7032013,59.9883003,4,19.0898991,21.4176006,21.8539009
"52","EMFWOR_NPINT1-03A_2018",0.09,4.4598098,7.8112001,12.8529997,0.09,1.42615,1.95577,2.2520499,0,145.8480072,173.0299988,216.9620056,0,8.3397903,15.0543003,27.2133999,0,7.3085599,12.1859999,20.7837009,4,25.8469009,28.8118,32.2969017,2,20,44,78,4,35.9599991,32.0245018,33.0009003,0,16.2042007,13.8704996,13.3177004
"53","EMFWOR_NRIMT1-01A_2015",0.27,15.6962004,107.3359985,169.4089966,0.27,8.2440004,22.2840004,10.5349998,0,95.0762024,195.3639984,388.3380127,0.375,49.3161011,189.8880005,390.3930054,0.375,41.4622002,10.0200996,52.7363014,24,57.4654999,63.1310997,61.8069992,5,19,41,72,0,8.3240805,8.4140701,7.3922,0,0,0,0
"54","EMFWOR_NRIMT1-01A_2016",0.486,30.1769009,56.0946007,137.673996,0.3,10.5524998,8.4375,11.5143995,78.740097,136.3699951,237.6609955,331.0090027,0.788462,56.5516014,141.397995,306.29599,0.518803,26.2437992,96.969101,124.3280029,40,58.8456993,57.3686981,60.0469017,4,17,41,68,0,13.8734999,12.4426003,8.7415705,0,0,0,0
"55","EMFWOR_NSWRC2-09A_2016",0.2475,43.9211006,87.9011002,134.4450073,0.18,14.7600002,7.8975,6.7813001,61.2372017,140.5590057,318.2799988,433.8880005,0.790069,51.1477013,146.0839996,160.2559967,0.772431,0.622471,13.2224998,25.6546001,32,61.7314987,53.6971016,50.8359985,5,17,43,65,0,0,0,1.99472,0,0,0,0
"56","EMFWOR_NSWRC2-09A_2017",0.2475,43.9211006,87.9011002,134.4450073,0.18,14.7600002,7.8975,6.7813001,61.2372017,140.5590057,318.2799988,433.8880005,0.790069,51.1477013,146.0839996,160.2559967,0.772431,0.622471,13.2224998,25.6546001,32,61.7314987,53.6971016,50.8359985,5,17,43,65,0,0,0.203978,2.3174,0,0,0,1.99472
"57","EMFWOR_NSWRC2-09A_2018",0.2475,43.9211006,87.9011002,134.4450073,0.18,14.7600002,7.8975,6.7813001,61.2372017,140.5590057,318.2799988,433.8880005,0.790069,51.1477013,146.0839996,160.2559967,0.772431,0.622471,13.2224998,25.6546001,32,61.7314987,53.6971016,50.8359985,5,17,43,65,0,0,0.203978,2.3174,0,0,0,1.99472
"58","EMFWOR_NSWRC2-10A_2015",0.53,23.6546001,86.4027023,143.9609985,0.405,3.9960001,6.1259999,7.81286,55.5555992,221.8009949,361.9979858,417.4460144,0.45,50.3366013,117.8919983,281.3580017,0.311111,37.9826012,9.0150099,38.7859993,36,55.7089005,52.0653,53.4761009,3,22,33,70,0,19.9778004,17.7970009,22.7339001,0,14.6504002,9.89291,10.8535995
"59","EMFWOR_NSWRC3-03A_2019",0,26.6285,68.0864029,109.9459991,0,15.165,18.2024994,7.9312501,0,86.9436035,165.5440063,358.6419983,0,1.39256,99.7584,111.9120026,0,0.339897,2.7688701,12.6386995,0,42.2835999,41.2545013,41.3610992,2,22,40,65,0,0,2.39674,5.4268098,0,0,0,0
"60","EMFWOR_NSWRC3-03A_2020",0.09,27.6921997,70.3379974,104.0910034,0.09,7.9425001,15.0480003,9.5815401,0,157.6889954,191.6829987,314.0650024,0,42.1896019,122.9110031,105.6230011,0,2.6243899,3.2518699,22.2744007,4,44.2910995,42.6313019,40.5984001,2,24,41,62,0,0,1.37685,5.8961601,0,0,1.37685,5.8961601
"61","EMFWOR_NSWRC3-03B_2018",0,21.8178005,59.6358986,104.0599976,0,12.7349997,11.0100002,6.49895,0,84.452301,210.1549988,387.4509888,0,1.16942,88.9926987,85.9014969,0,0.335368,6.0599599,9.4441004,0,35.5082016,37.4299011,40.2463989,1,21,38,68,0,0,2.09077,4.6054602,0,0,0,0
"62","EMFWOR_NSWRC3-04A_2016",1.08,13.0108995,24.5328999,34.4339981,1.08,1.24312,1.99731,2.3083799,0,307.6730042,335.901001,373.0539856,0,13.6445999,34.0588989,42.4146996,0,3.5232899,13.1754999,30.9624996,48,27.7290001,29.4237995,27.8381004,2,22,41,67,0,0,0,0,0,0,0,0
"63","EMFWOR_NSWRC3-04A_2018",1.08,13.0108995,24.5328999,34.4339981,1.08,1.24312,1.99731,2.3083799,0,307.6730042,335.901001,373.0539856,0,13.6445999,34.0588989,42.4146996,0,3.5232899,13.1754999,30.9624996,48,27.7290001,29.4237995,27.8381004,2,22,41,67,0,0,0,0,0,0,0,0
"64","EMFWOR_NSWRC3-04A_2020",0.9,20.4708996,32.1697006,38.0727005,0.9,2.0474999,2.5395701,2.47135,1.2e-06,299.9660034,341.5759888,379.5469971,0,22.5249004,39.4597015,46.6414986,0,3.2321899,15.3712997,40.0317001,40,34.2535019,33.0954018,29.8034992,2,17,42,67,0,0,0,0,0,0,0,0
"65","EMFWOR_NSWRC3-09A_2015",0,5.9621701,62.1786995,117.1589966,0,2.6614299,13.8059998,13.5699997,0,111.3649979,187.1829987,276.2909851,0,16.8588009,96.6195984,202.6320038,0,18.0547009,18.2957001,12.1789999,0,25.9724007,39.1127014,39.8064003,3,14,28,54,0,0,0,0,0,0,0,0
"66","EMFWOR_NSWRC3-09A_2016",0,5.9621701,62.1786995,117.1589966,0,2.6614299,13.8059998,13.5699997,0,111.3649979,187.1829987,276.2909851,0,16.8588009,96.6195984,202.6320038,0,18.0547009,18.2957001,12.1789999,0,25.9724007,39.1127014,39.8064003,3,14,28,54,0,0,0,0,0,0,0,0
"67","EMFWOR_NSWRC3-09A_2018",0.18,11.5433998,59.8031998,88.1306992,0.18,5.7600002,8.9485703,7.7207098,0,100.2030029,238.3899994,322.7200012,0,16.4283009,84.4480972,121.427002,0,15.4533005,6.0150399,48.2509003,8,24.0902996,35.4920998,35.2303009,2,16,36,48,0,0,0,0,0,0,0,0
"68","EMFWOR_NSWRC3-09A_2019",0.78,28.2605991,70.780098,89.6567001,0.54,14.2200003,10.5171003,9.1199999,66.6667023,99.3671036,239.3739929,297.1659851,1.5,2.7241399,114.0530014,124.8259964,0.833333,0.0343736,6.5514202,48.1002998,48,39.6487007,41.7134018,35.6702995,3,16,42,44,0,0,0,0,0,0,0,0
"69","EMMAOR_NCLIFFC1-07A_2015",0.18,3.0732601,9.5689201,13.0732002,0.18,1.29,1.87875,1.68792,0,117.5739975,202.3179932,259.7139893,0,6.7742901,18.3369999,31.2446003,0,7.9222999,16.7474995,43.7923012,8,16.1856995,25.5482006,29.1581001,2,17,59,101,0,0,0,0,0,0,0,0
"70","EMMAOR_NCLIFFC1-07A_2019",0.18,3.0732601,9.5689201,13.0732002,0.18,1.29,1.87875,1.68792,0,117.5739975,202.3179932,259.7139893,0,6.7742901,18.3369999,31.2446003,0,7.9222999,16.7474995,43.7923012,8,16.1856995,25.5482006,29.1581001,2,17,59,101,0,0,0,0,0,0,0,0
"71","EMMAOR_NCLIFFC1-08A_2015",0.27,2.6631501,3.53181,7.8573599,0.27,0.745,0.823696,1.05158,0,160.4589996,181.3220062,254.401001,0,5.2785802,8.7664003,14.7634001,0,5.2111502,10.2606001,13.6782999,12,18.6951008,21.4685993,26.0487003,3,35,69,114,0,0,0,0,0,0,0,0
"72","EMMAOR_NCLIFFC1-08A_2016",0.18,2.2916501,5.8894801,8.5230904,0.18,0.640588,1.1625,1.12299,0,160.5429993,201.6490021,256.70401,0,3.10255,12.4974003,16.7579002,0,4.72119,12.5122995,17.2322998,8,15.1819,23.7124004,24.5233002,4,34,60,104,0,0,0,0,0,0,0,0
"73","EMMAOR_NCLIFFC1-08A_2017",0.18,2.6749401,3.46049,8.4245195,0.18,0.79,0.804375,1.0776,0,154.4669952,181.7160034,261.1099854,0,5.4458899,8.63095,14.4765997,0,6.0206699,10.2200003,13.6032,8,19.8243008,21.8766003,26.3419991,2,33,73,116,0,0,0,0,0,0,0,0
"74","EMMAOR_NCLIFFC1-08A_2019",0.18,2.6749401,3.46049,8.4245195,0.18,0.79,0.804375,1.0776,0,154.4669952,181.7160034,261.1099854,0,5.4458899,8.63095,14.4765997,0,6.0206699,10.2200003,13.6032,8,19.8243008,21.8766003,26.3419991,2,33,73,116,0,0,0,0,0,0,0,0
